"No.","Time","Source","Destination","Protocol","Length","Info"
"11","153.135246","10.0.0.2","10.0.0.6","TCP","574","1597  >  0 [SYN] Seq=0 Win=512 Len=2000"
"12","153.135276","10.0.0.6","10.0.0.2","TCP","54","0  >  1597 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"14","153.141085","10.0.0.2","10.0.0.6","TCP","574","1598  >  0 [SYN] Seq=0 Win=512 Len=2000"
"16","153.141136","10.0.0.6","10.0.0.2","TCP","54","0  >  1598 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"17","153.141869","10.0.0.2","10.0.0.6","TCP","574","1599  >  0 [SYN] Seq=0 Win=512 Len=2000"
"18","153.141878","10.0.0.6","10.0.0.2","TCP","54","0  >  1599 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20","153.145210","10.0.0.2","10.0.0.6","TCP","574","1600  >  0 [SYN] Seq=0 Win=512 Len=2000"
"21","153.145218","10.0.0.6","10.0.0.2","TCP","54","0  >  1600 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"23","153.148548","10.0.0.2","10.0.0.6","TCP","574","1601  >  0 [SYN] Seq=0 Win=512 Len=2000"
"24","153.148556","10.0.0.6","10.0.0.2","TCP","54","0  >  1601 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"26","153.151889","10.0.0.2","10.0.0.6","TCP","574","1602  >  0 [SYN] Seq=0 Win=512 Len=2000"
"27","153.151898","10.0.0.6","10.0.0.2","TCP","54","0  >  1602 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"29","153.155234","10.0.0.2","10.0.0.6","TCP","574","1603  >  0 [SYN] Seq=0 Win=512 Len=2000"
"30","153.155242","10.0.0.6","10.0.0.2","TCP","54","0  >  1603 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"32","153.161188","10.0.0.2","10.0.0.6","TCP","574","1604  >  0 [SYN] Seq=0 Win=512 Len=2000"
"34","153.161238","10.0.0.6","10.0.0.2","TCP","54","0  >  1604 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"35","153.162916","10.0.0.2","10.0.0.6","TCP","574","1605  >  0 [SYN] Seq=0 Win=512 Len=2000"
"37","153.162954","10.0.0.6","10.0.0.2","TCP","54","0  >  1605 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"38","153.165319","10.0.0.2","10.0.0.6","TCP","574","1606  >  0 [SYN] Seq=0 Win=512 Len=2000"
"39","153.165359","10.0.0.6","10.0.0.2","TCP","54","0  >  1606 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"41","153.168741","10.0.0.2","10.0.0.6","TCP","574","1607  >  0 [SYN] Seq=0 Win=512 Len=2000"
"42","153.168781","10.0.0.6","10.0.0.2","TCP","54","0  >  1607 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"44","153.173204","10.0.0.2","10.0.0.6","TCP","574","1608  >  0 [SYN] Seq=0 Win=512 Len=2000"
"46","153.173344","10.0.0.6","10.0.0.2","TCP","54","0  >  1608 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"47","153.175647","10.0.0.2","10.0.0.6","TCP","574","1609  >  0 [SYN] Seq=0 Win=512 Len=2000"
"48","153.175689","10.0.0.6","10.0.0.2","TCP","54","0  >  1609 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"50","153.178988","10.0.0.2","10.0.0.6","TCP","574","1610  >  0 [SYN] Seq=0 Win=512 Len=2000"
"51","153.179021","10.0.0.6","10.0.0.2","TCP","54","0  >  1610 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"53","153.182317","10.0.0.2","10.0.0.6","TCP","574","1611  >  0 [SYN] Seq=0 Win=512 Len=2000"
"54","153.182338","10.0.0.6","10.0.0.2","TCP","54","0  >  1611 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"56","153.185659","10.0.0.2","10.0.0.6","TCP","574","1612  >  0 [SYN] Seq=0 Win=512 Len=2000"
"57","153.185681","10.0.0.6","10.0.0.2","TCP","54","0  >  1612 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"59","153.189251","10.0.0.2","10.0.0.6","TCP","574","1613  >  0 [SYN] Seq=0 Win=512 Len=2000"
"60","153.189287","10.0.0.6","10.0.0.2","TCP","54","0  >  1613 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"62","153.196078","10.0.0.2","10.0.0.6","TCP","574","1614  >  0 [SYN] Seq=0 Win=512 Len=2000"
"64","153.196132","10.0.0.6","10.0.0.2","TCP","54","0  >  1614 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"65","153.197801","10.0.0.2","10.0.0.6","TCP","574","1615  >  0 [SYN] Seq=0 Win=512 Len=2000"
"67","153.197834","10.0.0.6","10.0.0.2","TCP","54","0  >  1615 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"68","153.200240","10.0.0.2","10.0.0.6","TCP","574","1616  >  0 [SYN] Seq=0 Win=512 Len=2000"
"69","153.200259","10.0.0.6","10.0.0.2","TCP","54","0  >  1616 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"71","153.203804","10.0.0.2","10.0.0.6","TCP","574","1617  >  0 [SYN] Seq=0 Win=512 Len=2000"
"72","153.203831","10.0.0.6","10.0.0.2","TCP","54","0  >  1617 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"74","153.221225","10.0.0.2","10.0.0.6","TCP","574","1618  >  0 [SYN] Seq=0 Win=512 Len=2000"
"76","153.221274","10.0.0.6","10.0.0.2","TCP","54","0  >  1618 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"77","153.222765","10.0.0.2","10.0.0.6","TCP","574","1619  >  0 [SYN] Seq=0 Win=512 Len=2000"
"78","153.222774","10.0.0.6","10.0.0.2","TCP","54","0  >  1619 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"80","153.226108","10.0.0.2","10.0.0.6","TCP","574","1620  >  0 [SYN] Seq=0 Win=512 Len=2000"
"81","153.226121","10.0.0.6","10.0.0.2","TCP","54","0  >  1620 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"83","153.229445","10.0.0.2","10.0.0.6","TCP","574","1621  >  0 [SYN] Seq=0 Win=512 Len=2000"
"84","153.229454","10.0.0.6","10.0.0.2","TCP","54","0  >  1621 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"86","153.232784","10.0.0.2","10.0.0.6","TCP","574","1622  >  0 [SYN] Seq=0 Win=512 Len=2000"
"87","153.232792","10.0.0.6","10.0.0.2","TCP","54","0  >  1622 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"89","153.236125","10.0.0.2","10.0.0.6","TCP","574","1623  >  0 [SYN] Seq=0 Win=512 Len=2000"
"90","153.236134","10.0.0.6","10.0.0.2","TCP","54","0  >  1623 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"92","153.239299","10.0.0.2","10.0.0.6","TCP","574","1624  >  0 [SYN] Seq=0 Win=512 Len=2000"
"93","153.239337","10.0.0.6","10.0.0.2","TCP","54","0  >  1624 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"95","153.244909","10.0.0.2","10.0.0.6","TCP","574","1625  >  0 [SYN] Seq=0 Win=512 Len=2000"
"96","153.244939","10.0.0.6","10.0.0.2","TCP","54","0  >  1625 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"98","153.248555","10.0.0.2","10.0.0.6","TCP","574","1626  >  0 [SYN] Seq=0 Win=512 Len=2000"
"99","153.248585","10.0.0.6","10.0.0.2","TCP","54","0  >  1626 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"101","153.252898","10.0.0.2","10.0.0.6","TCP","574","1627  >  0 [SYN] Seq=0 Win=512 Len=2000"
"103","153.252931","10.0.0.6","10.0.0.2","TCP","54","0  >  1627 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"104","153.254845","10.0.0.2","10.0.0.6","TCP","574","1628  >  0 [SYN] Seq=0 Win=512 Len=2000"
"105","153.254854","10.0.0.6","10.0.0.2","TCP","54","0  >  1628 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"107","153.258183","10.0.0.2","10.0.0.6","TCP","574","1629  >  0 [SYN] Seq=0 Win=512 Len=2000"
"108","153.258191","10.0.0.6","10.0.0.2","TCP","54","0  >  1629 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"110","153.261525","10.0.0.2","10.0.0.6","TCP","574","1630  >  0 [SYN] Seq=0 Win=512 Len=2000"
"111","153.261533","10.0.0.6","10.0.0.2","TCP","54","0  >  1630 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"113","153.264864","10.0.0.2","10.0.0.6","TCP","574","1631  >  0 [SYN] Seq=0 Win=512 Len=2000"
"114","153.264881","10.0.0.6","10.0.0.2","TCP","54","0  >  1631 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"116","153.268205","10.0.0.2","10.0.0.6","TCP","574","1632  >  0 [SYN] Seq=0 Win=512 Len=2000"
"117","153.268214","10.0.0.6","10.0.0.2","TCP","54","0  >  1632 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"119","153.273511","10.0.0.2","10.0.0.6","TCP","574","1633  >  0 [SYN] Seq=0 Win=512 Len=2000"
"121","153.273557","10.0.0.6","10.0.0.2","TCP","54","0  >  1633 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"122","153.275716","10.0.0.2","10.0.0.6","TCP","574","1634  >  0 [SYN] Seq=0 Win=512 Len=2000"
"123","153.275747","10.0.0.6","10.0.0.2","TCP","54","0  >  1634 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"125","153.278851","10.0.0.2","10.0.0.6","TCP","574","1635  >  0 [SYN] Seq=0 Win=512 Len=2000"
"126","153.278873","10.0.0.6","10.0.0.2","TCP","54","0  >  1635 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"128","153.282190","10.0.0.2","10.0.0.6","TCP","574","1636  >  0 [SYN] Seq=0 Win=512 Len=2000"
"129","153.282199","10.0.0.6","10.0.0.2","TCP","54","0  >  1636 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"131","153.285185","10.0.0.2","10.0.0.6","TCP","574","1637  >  0 [SYN] Seq=0 Win=512 Len=2000"
"132","153.285203","10.0.0.6","10.0.0.2","TCP","54","0  >  1637 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"134","153.288306","10.0.0.2","10.0.0.6","TCP","574","1638  >  0 [SYN] Seq=0 Win=512 Len=2000"
"135","153.288323","10.0.0.6","10.0.0.2","TCP","54","0  >  1638 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"137","153.293295","10.0.0.2","10.0.0.6","TCP","574","1639  >  0 [SYN] Seq=0 Win=512 Len=2000"
"138","153.293341","10.0.0.6","10.0.0.2","TCP","54","0  >  1639 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"140","153.296582","10.0.0.2","10.0.0.6","TCP","574","1640  >  0 [SYN] Seq=0 Win=512 Len=2000"
"141","153.296599","10.0.0.6","10.0.0.2","TCP","54","0  >  1640 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"143","153.299923","10.0.0.2","10.0.0.6","TCP","574","1641  >  0 [SYN] Seq=0 Win=512 Len=2000"
"144","153.299931","10.0.0.6","10.0.0.2","TCP","54","0  >  1641 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"146","153.303593","10.0.0.2","10.0.0.6","TCP","574","1642  >  0 [SYN] Seq=0 Win=512 Len=2000"
"147","153.303636","10.0.0.6","10.0.0.2","TCP","54","0  >  1642 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"149","153.306685","10.0.0.2","10.0.0.6","TCP","574","1643  >  0 [SYN] Seq=0 Win=512 Len=2000"
"150","153.306707","10.0.0.6","10.0.0.2","TCP","54","0  >  1643 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"152","153.317261","10.0.0.2","10.0.0.6","TCP","574","1644  >  0 [SYN] Seq=0 Win=512 Len=2000"
"153","153.317304","10.0.0.6","10.0.0.2","TCP","54","0  >  1644 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"155","153.320961","10.0.0.2","10.0.0.6","TCP","574","1645  >  0 [SYN] Seq=0 Win=512 Len=2000"
"156","153.320976","10.0.0.6","10.0.0.2","TCP","54","0  >  1645 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"158","153.324287","10.0.0.2","10.0.0.6","TCP","574","1646  >  0 [SYN] Seq=0 Win=512 Len=2000"
"159","153.324296","10.0.0.6","10.0.0.2","TCP","54","0  >  1646 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"161","153.327628","10.0.0.2","10.0.0.6","TCP","574","1647  >  0 [SYN] Seq=0 Win=512 Len=2000"
"162","153.327636","10.0.0.6","10.0.0.2","TCP","54","0  >  1647 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"164","153.330966","10.0.0.2","10.0.0.6","TCP","574","1648  >  0 [SYN] Seq=0 Win=512 Len=2000"
"165","153.330974","10.0.0.6","10.0.0.2","TCP","54","0  >  1648 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"167","153.344853","10.0.0.2","10.0.0.6","TCP","574","1649  >  0 [SYN] Seq=0 Win=512 Len=2000"
"169","153.344875","10.0.0.6","10.0.0.2","TCP","54","0  >  1649 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"170","153.345686","10.0.0.2","10.0.0.6","TCP","574","1650  >  0 [SYN] Seq=0 Win=512 Len=2000"
